2nd Cycle Project Arrangement,Additional work completion date,Approved Mid life Additional work after 1st Refurbishment Cycle,Balustrade Type (S/S. Glass),Class of Criticality,Combined Eqpt Number,Combined Eqpt Number (copy),EMSD Location No.,Equipment station,Escalator / Passenger Conveyor,Escalator PA,First Refurbishment Date (Completion),First Refurbishment Project,Frontline Workgroup,Installation Date,LARP Number (Refurbishment),LARP Number (Replacement),Latest Change of Steps,Latest project work arrangement,Local Control Panel Fault Event Log with PLC/PCB,Machine/Controller Location (MIT / MOT /  MIT/CO),Maintained By,Maintenance Contact,Maintenance Contract,Model,Motor Brand,Motor Model,Motor Power Rating (KW),OA Flag,OA Section,OEM,OEM (copy),OLD EMSD number (before replacement) / remarks,Other Speed Selection m/s,Overhaul Service Hour,Physical Location (Internal / Entrance),Planned Refurbishment / Replacement Project,RailASSURE ID,Region,Regular Maintenance Hour (TH/NTH),Rise (m) (bin),RP/Owner,Station name,Step Chain Lubrication (Greasing / Oil),Type of Drive,Type of Planned activity,% of Step Chain Replacement,Estimated no of Steps,Planned Year of Refurbishment  / 2nd Refurbishment / Replacement,Rate Speed m/s,Rise (m),Step Width (mm),Year of First Refurbishment
,,,S/S,C,ADM-AE1,ADM-AE1,2400197-008,ADM,Escalator,,18/03/2011,C6516.A-03E Batch 2,I&T-3,29/12/1983,U-E6.10/135,U-E6.10/136,Not Found,C6516.A-03E Batch 2,Yes,MOT,OTIS,Otis-27593113,M1176-18E(O)(B1),HD-A,,,15,Yes,ISL,OTIS,OTIS,,,Normal,Exit A,,ADM-L&E-ESC-AE1,SR,Normal,0,MTR,ADM,Greasing,Star / Delta,,,75,2034,0.6,4.1,1011,2011
,,,S/S,C,ADM-BE1,ADM-BE1,2400197-009,ADM,Escalator,,11/07/2013,C6516.C-10E Batch 3,I&T-3,04/01/1980,U-E6.10/137,U-E6.10/138,Not Found,C6516.C-10E Batch 3,,MOT,OTIS,Otis-27593113,M1176-18E(O)(B1),HD-A,,,15,Yes,ISL,OTIS,OTIS,,,Normal,Exit B,,ADM-L&E-ESC-BE1,SR,Normal,0,MTR,ADM,Greasing,Star / Delta,,,75,2037,0.6,4.1,1011,2013
,,,S/S,C,ADM-CE1,ADM-CE1,2400197-010,ADM,Escalator,,31/08/2007,C6516.A-03E Batch 2,I&T-3,02/01/1980,U-E6.10/139,U-E6.10/140,Not Found,C6516.A-03E Batch 2,Yes,MOT,OTIS,Otis-27593113,M1176-18E(O)(B1),HD-A,,,15,Yes,ISL,OTIS,OTIS,,,NTH,Exit C,,ADM-L&E-ESC-CE1,SR,NTH,0,MTR,ADM,Greasing,Star / Delta,,,72,2033,0.6,3.75,1011,2007
,,,S/S,C,ADM-DE1,ADM-DE1,2400197-011,ADM,Escalator,,12/06/2011,C6516.C-10E Batch 3,I&T-3,02/01/1980,U-E6.10/141,U-E6.10/142,Not Found,C6516.C-10E Batch 3,Yes,MOT,OTIS,Otis-27593113,M1176-18E(O)(B1),HD-A,,,15,Yes,ISL,OTIS,OTIS,,,Normal,Exit D,,ADM-L&E-ESC-DE1,SR,Normal,0,MTR,ADM,Greasing,Star / Delta,,,72,2036,0.6,3.75,1011,2011
,,,Stainless Steel,C,ADM-E03,ADM-E03,2400197-014,ADM,Escalator,ADM-L&E-ESCPA-E3,,,I&T-3,01/08/2013,W-E6.11/326,W-E6.11/325,Not Found,,,MIT,KONE,Kone-23078700,M1176-18E(K)(B3),TM140,,,2x18.5,Yes,SIL,KONE,KONE,,,,,,ADM-L&E-ESC-E03,SR,,10,MTR,ADM,,VF,,1,200,2039,0.75,11.99,998,
,,,Stainless Steel,C,ADM-E04,ADM-E04,2400197-013,ADM,Escalator,ADM-L&E-ESCPA-E4,,,I&T-3,31/05/2013,W-E6.11/324,W-E6.11/323,Not Found,,,MIT,KONE,Kone-23078700,M1176-18E(K)(B3),TM140,,,15,Yes,SIL,KONE,KONE,,,,,,ADM-L&E-ESC-E04,SR,,5,MTR,ADM,,VF,,1,85,2039,0.75,5.1,998,
,,,Glass,NC,ADM-E08,ADM-E08,2400197-015,ADM,Escalator,,,,I&T-3,28/12/2016,,,Not Found,,,MIT,KONE,Kone-23078700,M1176-18E(K)(B3),TM140,,,18.5,Yes,SIL,KONE,KONE,,,,,,ADM-L&E-ESC-E08,SR,,5,MTR,ADM,,VF,,1,94,2041,0.75,5.6,998,
,,,Glass,NC,ADM-E09,ADM-E09,2400197-016,ADM,Escalator,,,,I&T-3,28/12/2016,,,Not Found,,,MIT,KONE,Kone-23078700,M1176-18E(K)(B3),TM140,,,18.5,Yes,SIL,KONE,KONE,,,,,,ADM-L&E-ESC-E09,SR,,5,MTR,ADM,,VF,,1,94,2041,0.75,5.6,998,
,,,S/S,C,ADM-E1,ADM-E1,2400197-001,ADM,Escalator,,23/10/2011,C6516.C-10E Batch 3,I&T-3,21/12/1979,U-E6.10/123,U-E6.10/124,Not Found,C6516.C-10E Batch 3,Yes,MOT,OTIS,Otis-27593113,M1176-18E(O)(B1),HD-A,,,15,Yes,ISL,OTIS,OTIS,,,Normal,,,ADM-L&E-ESC-E1,SR,Normal,5,MTR,ADM,Greasing,Star / Delta,,,85,2034,0.75,5.08,1011,2011
,,,Glass,NC,ADM-E10,ADM-E10,2400197-017,ADM,Escalator,,,,I&T-3,28/12/2016,,,Not Found,,,MIT,KONE,Kone-23078700,M1176-18E(K)(B3),TM140,,,18.5,Yes,SIL,KONE,KONE,,,,,,ADM-L&E-ESC-E10,SR,,5,MTR,ADM,,VF,,1,94,2041,0.75,5.6,998,
,,,Glass,NC,ADM-E12,ADM-E12,2400197-018,ADM,Escalator,,,,I&T-3,28/12/2016,,,Not Found,,,MIT,KONE,Kone-23078700,M1176-18E(K)(B3),TM140,,,18.5,Yes,SIL,KONE,KONE,,,,,,ADM-L&E-ESC-E12,SR,,5,MTR,ADM,,VF,,1,94,2041,0.75,5.6,998,
,,,Glass,NC,ADM-E13,ADM-E13,2400197-019,ADM,Escalator,,,,I&T-3,28/12/2016,,,Not Found,,,MIT/CO,KONE,Kone-23078700,M1176-18E(K)(B3),TM140,,,18.5,Yes,SIL,KONE,KONE,,,,,,ADM-L&E-ESC-E13,SR,,5,MTR,ADM,,VF,,1,94,2041,0.75,5.6,998,
,,,Glass,NC,ADM-E14,ADM-E14,2400197-020,ADM,Escalator,,,,I&T-3,28/12/2016,,,Not Found,,,MIT/CO,KONE,Kone-23078700,M1176-18E(K)(B3),TM140,,,18.5,Yes,SIL,KONE,KONE,,,,,,ADM-L&E-ESC-E14,SR,,5,MTR,ADM,,VF,,1,94,2041,0.75,5.6,998,
,,,Glass,NC,ADM-E15,ADM-E15,2400197-021,ADM,Escalator,,,,I&T-3,28/12/2016,,,Not Found,,,MIT/CO,KONE,Kone-23078700,M1176-18E(K)(B3),TM140,,,18.5,Yes,SIL,KONE,KONE,,,,,,ADM-L&E-ESC-E15,SR,,5,MTR,ADM,,VF,,1,101,2041,0.75,6.03,998,
,,,Glass,NC,ADM-E16,ADM-E16,2400197-022,ADM,Escalator,,,,I&T-3,28/12/2016,,,Not Found,,,MIT/CO,KONE,Kone-23078700,M1176-18E(K)(B3),TM140,,,18.5,Yes,SIL,KONE,KONE,,,,,,ADM-L&E-ESC-E16,SR,,5,MTR,ADM,,VF,,1,101,2041,0.75,6.03,998,
