From Location Code,From Location Description
YMT,Yau Ma Tei Station
KOB,Kowloon Bay Station
KWH,Kwai Hing Station
TIK,Tiu Keng Leng Station
LAT,Lam Tin Station
KWT,Kwun Tong Station
NAC,Nam Cheong Station
LCK,Lai Chi Kok Station
TIS,Tin Shui Wai Station
TSW,Tsuen Wan Station
MEF,Mei Foo Station
CSW,Cheung Sha Wan Station
TIH,Tin Hau Station
CHW,Chai Wan Station
TUM,Tuen Mun Station
KET,Kennedy Town Station
TSY,Tsing Yi Station
PRE,Prince Edward Station
LOW,Lo Wu Station
CAB,Causeway Bay Station
WTS,Wong Tai Sin Station
QUB,Quarry Bay Station
NOP,North Point Station
YAT,Yau Tong Station
CHH,Choi Hung Station
TAK,Tai Koo Station
WAC,Wan Chai Station
CEN,Central Station
TST,Tsim Sha Tsui Station
DIH,Diamond Hill Station
FOH,Fortress Hill Station
ETS,East Tsim Sha Tsui Station
MOK,Mong Kok Station
KOT,Kowloon Tong Station
SKW,Shau Kei Wan Station
WHA,Whampoa Station
SHS,Sheung Shui Station
ADM,Admiralty Station
DIS,Disneyland Resort Station
TWH,Tai Wo Hau Station
HFC,Heng Fa Chuen Station
TKO,Tseung Kwan O Station
YUL,Yuen Long Station
SHW,Sheung Wan Station
SYP,Sai Ying Pun Station
LOF,Lok Fu Station
HOK,Hong Kong Station
STW,Sha Tin Wai Station
TAW,Tai Wai Station
SWH,Sai Wan Ho Station
LHP,LOHAS Park Station
LOP,Long Ping Station
JOR,Jordan Station
TUC,Tung Chung Station
LAK,Lai King Station
HUH,Hung Hom Station
SSP,Sham Shui Po Station
TAP,Tai Po Market Station
CKT,Che Kung Temple Station
KOW,Kowloon Station
KWF,Kwai Fong Station
SIH,Siu Hong Station
POA,Po Lam Station
HKU,HKU Station
HOM,Ho Man Tin Station
MKK,Mong Kok East Station
SOH,South Horizons Station
FAN,Fanling Station
OCP,Ocean Park Station
NTK,Ngau Tau Kok Station
SUN,Sunny Bay Station
LMC,Lok Ma Chau Station
LET,Lei Tung Station
UNI,University Station
WCH,Wong Chuk Hang Station
TWW,Tsuen Wan West Station
KSR,Kam Sheung Road Station
OLY,Olympic Station
HEO,Heng On Station
TWO,Tai Wo Station
HAH,Hang Hau Station
SKM,Shek Kip Mei Station
SHT,Sha Tin Station
WKS,Wu Kai Sha Station
FOT,Fo Tan Station
SHM,Shek Mun Station
AUS,Austin Station
WEK,West Kowloon Station
AWE,AsiaWorld-Expo Station
WEK,Hong Kong West Kowloon Station
TSH,Tai Shui Hang Station
CIO,City One Station
MOS,Ma On Shan Station
SOH,South Horizons Station
WCH,Wong Chuk Hang Station
KAT,Kai Tak Station
HIK,Hin Keng Station
LET,Lei Tung Station
TKW,To Kwa Wan Station
SUW,Sung Wong Toi Station
EXC,Exhibition Centre Station
RAC,Racecourse Station
AIR,Airport Station
