Line,Turnout,variable,Date,value,DateTime,Remarks,ML_max,ML_min,SL_max,SL_min,status,Lat,Long,Passed,ML exceeds,SL exceeds,No value
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2023-10-10,40.0,2023-10-10 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2023-07-09,40.0,2023-07-09 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2023-04-04,40.0,2023-04-04 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2023-01-26,39.0,2023-01-26 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2022-10-12,41.0,2022-10-12 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2022-07-26,41.0,2022-07-26 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2022-04-19,39.0,2022-04-19 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2022-01-27,39.0,2022-01-27 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2021-12-20,38.0,2021-12-20 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2021-11-04,39.0,2021-11-04 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2021-08-04,40.0,2021-08-04 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2021-05-20,40.0,2021-05-20 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2021-02-03,40.0,2021-02-03 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2020-11-04,40.0,2020-11-04 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_LH,2020-08-04,39.0,2020-08-04 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2023-10-10,41.0,2023-10-10 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2023-07-09,40.0,2023-07-09 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2023-04-04,40.0,2023-04-04 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2023-01-26,41.0,2023-01-26 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2022-10-12,41.0,2022-10-12 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2022-07-26,40.0,2022-07-26 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2022-04-19,41.0,2022-04-19 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2022-01-27,42.0,2022-01-27 00:00:00,Before,41.0,38.0,43.0,36.0,ML exceeds,22.3364186,114.2070792,0,1,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2021-12-20,44.0,2021-12-20 00:00:00,Before,41.0,38.0,43.0,36.0,SL exceeds,22.3364186,114.2070792,0,0,1,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2021-11-04,40.0,2021-11-04 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2021-08-04,40.0,2021-08-04 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2021-05-20,39.0,2021-05-20 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2021-02-03,41.0,2021-02-03 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2020-11-04,39.0,2020-11-04 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2020-08-04,39.0,2020-08-04 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2022-01-27,38.0,2022-01-27 00:00:01,After,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
